iter	Passed	Remaining
0	2	2777
1	6	3183
2	10	3331
3	17	4384
4	21	4185
5	24	4131
6	32	4561
7	35	4431
8	39	4326
9	46	4561
10	50	4516
11	54	4465
12	59	4488
13	66	4701
14	70	4640
15	75	4636
16	82	4760
17	88	4811
18	91	4746
19	98	4813
20	101	4725
21	104	4651
22	107	4580
23	114	4641
24	117	4579
25	121	4551
26	128	4635
27	132	4590
28	136	4586
29	140	4543
30	145	4546
31	150	4557
32	156	4585
33	160	4567
34	164	4547
35	169	4538
36	176	4585
37	180	4566
38	184	4544
39	192	4608
40	196	4602
41	200	4569
42	210	4681
43	213	4647
44	217	4612
45	224	4649
46	228	4624
47	231	4590
48	236	4584
49	240	4562
50	243	4533
51	264	4816
52	273	4892
53	289	5071
54	312	5360
55	320	5395
56	330	5460
57	353	5744
58	357	5708
59	362	5678
60	372	5730
61	378	5727
62	387	5767
63	391	5724
64	394	5681
65	401	5683
66	422	5876
67	428	5872
68	435	5881
69	440	5858
70	452	5924
71	457	5902
72	466	5930
73	471	5901
74	476	5879
75	483	5879
76	487	5841
77	491	5810
78	497	5805
79	502	5775
80	506	5742
81	509	5704
82	516	5708
83	519	5669
84	523	5631
85	526	5593
86	533	5601
87	538	5578
88	541	5542
89	547	5531
90	550	5497
91	554	5470
92	559	5452
93	568	5477
94	571	5446
95	575	5420
96	583	5435
97	587	5409
98	591	5383
99	597	5380
100	601	5354
101	604	5322
102	611	5326
103	614	5294
104	617	5263
105	620	5232
106	623	5201
107	629	5200
108	632	5170
109	635	5139
110	638	5111
111	645	5120
112	648	5093
113	651	5066
114	655	5040
115	661	5043
116	664	5017
117	667	4991
118	670	4964
119	677	4969
120	680	4945
121	683	4921
122	687	4899
123	694	4906
124	698	4887
125	702	4871
126	713	4901
127	717	4887
128	725	4898
129	730	4885
130	733	4865
131	737	4846
132	740	4828
133	743	4808
134	747	4786
135	750	4764
136	755	4761
137	758	4740
138	762	4721
139	765	4704
140	772	4706
141	775	4685
142	779	4668
143	782	4650
144	790	4663
145	795	4653
146	799	4637
147	805	4639
148	808	4619
149	813	4612
150	822	4622
151	826	4613
152	831	4604
153	838	4606
154	843	4599
155	847	4586
156	855	4591
157	906	4830
158	911	4820
159	919	4829
160	925	4822
161	930	4811
162	937	4814
163	944	4814
164	967	4897
165	971	4878
166	975	4866
167	979	4848
168	986	4849
169	992	4844
170	998	4842
171	1003	4832
172	1007	4818
173	1012	4804
174	1016	4793
175	1020	4777
176	1023	4761
177	1034	4776
178	1037	4758
179	1040	4740
180	1048	4743
181	1053	4733
182	1059	4730
183	1067	4735
184	1072	4725
185	1080	4730
186	1086	4722
187	1091	4713
188	1099	4719
189	1104	4707
190	1112	4713
191	1116	4697
192	1120	4686
193	1129	4694
194	1133	4679
195	1136	4663
196	1140	4647
197	1148	4651
198	1151	4635
199	1157	4628
200	1161	4615
201	1164	4599
202	1170	4595
203	1174	4583
204	1178	4568
205	1181	4555
206	1189	4556
207	1192	4541
208	1197	4530
209	1201	4521
210	1205	4507
211	1208	4491
212	1211	4475
213	1214	4459
214	1221	4459
215	1224	4444
216	1227	4429
217	1231	4417
218	1239	4419
219	1243	4408
220	1247	4397
221	1253	4394
222	1258	4384
223	1262	4375
224	1273	4384
225	1276	4373
226	1284	4374
227	1287	4360
228	1291	4348
229	1300	4355
230	1304	4342
231	1307	4328
232	1311	4316
233	1319	4319
234	1322	4306
235	1326	4293
236	1340	4315
237	1350	4323
238	1354	4311
239	1357	4298
240	1365	4301
241	1369	4290
242	1374	4282
243	1386	4295
244	1393	4294
245	1397	4282
246	1400	4269
247	1403	4255
248	1406	4241
249	1412	4236
250	1415	4222
251	1418	4209
252	1420	4195
253	1423	4181
254	1429	4177
255	1432	4164
256	1436	4152
257	1439	4139
258	1446	4137
259	1450	4127
260	1453	4114
261	1456	4102
262	1459	4090
263	1463	4078
264	1465	4065
265	1468	4052
266	1475	4049
267	1478	4038
268	1482	4029
269	1495	4044
270	1500	4035
271	1507	4035
272	1511	4026
273	1516	4016
274	1522	4014
275	1528	4010
276	1532	3999
277	1539	3999
278	1543	3990
279	1547	3979
280	1551	3968
281	1557	3966
282	1561	3956
283	1564	3945
284	1571	3942
285	1575	3933
286	1578	3922
287	1582	3911
288	1587	3906
289	1591	3895
290	1594	3885
291	1598	3875
292	1605	3874
293	1608	3863
294	1613	3855
295	1620	3853
296	1623	3842
297	1626	3831
298	1630	3823
299	1636	3818
300	1640	3809
301	1643	3798
302	1647	3790
303	1651	3780
304	1654	3768
305	1658	3760
306	1666	3761
307	1669	3750
308	1672	3739
309	1675	3729
310	1681	3724
311	1684	3713
312	1687	3702
313	1690	3692
314	1693	3681
315	1697	3675
316	1700	3664
317	1703	3654
318	1707	3645
319	1715	3645
320	1718	3635
321	1721	3625
322	1724	3615
323	1731	3612
324	1736	3605
325	1739	3596
326	1747	3595
327	1750	3587
328	1755	3579
329	1761	3577
330	1766	3569
331	1771	3563
332	1778	3563
333	1784	3558
334	1788	3550
335	1802	3561
336	1810	3562
337	1815	3555
338	1821	3550
339	1828	3549
340	1831	3540
341	1834	3530
342	1838	3520
343	1846	3521
344	1849	3511
345	1852	3501
346	1858	3497
347	1864	3494
348	1868	3486
349	1877	3485
350	1880	3476
351	1883	3468
352	1888	3462
353	1892	3453
354	1896	3445
355	1900	3437
356	1907	3435
357	1910	3426
358	1914	3419
359	1922	3418
360	1927	3411
361	1932	3405
